"Allgäuer Meister, 2. H. 16. Jh."
"Augsburger Meister, um 1480"
"Christo (eigentl. Javacheff, Christo)"
"Christo (eigentl. Javacheff, Christo)"
"Christo (eigentl. Javacheff, Christo)"
"Christo (eigentl. Javacheff, Christo)"
"Deutsch, 1. H. 17. Jh."
"Deutsch, 1. Hälfte 17. Jahrhundert"
"Deutsch, 1. Hälfte 18. Jahrhundert"
"Deutsch, 1. Hälfte 18. Jahrhundert"
"Deutsch, 1. Hälfte 18. Jahrhundert"
"Deutsch, 2. Hälfte 18. Jahrhundert"
"Deutsch, 2. Hälfte 18. Jahrhundert (vermutlich)"
"Deutsch, 2. Hälfte 18. Jahrhundert (vermutlich)"
"Deutsch, 2. Hälfte 18. Jahrhundert"
"Deutsch, 2. Hälfte 18. Jahrhundert"
"Deutsch, nach Venezianischem Vorbild"
"Dreber, gen. Franz-Dreber Heinrich"
"Dreber, gen. Franz-Dreber Heinrich"
"Flämisch, 1. Hälfte 17. Jahrhundert"
"Flämisch, 1. Hälfte 17. Jahrhundert"
"Flämisch, 1. Hälfte 17. Jahrhundert"
"Flämisch, 1556"
"Flämisch, 17. Jahrhundert"
"Italienisch, 17. Jh."
"Italienisch, 17. Jh."
"Kölnisch, 2. Viertel 14. Jh."
"Oberitalienisch(?), 17. Jahrhundert"
"Oberitalienisch(?), 2. Hälfte 17. Jahrhundert"
"Oberitalienisch(?), Ende 17. Jahrhundert"
"Oberitalienisch(?), Ende 17. Jahrhundert"
"Oberitalienisch, 1. Hälfte 18. Jahrhundert"
"Oberitalienisch, 1. Hälfte 18. Jahrhundert"
"Oberitalienisch, Ende 17. Jahrhundert"
"Oberitalienisch, Ende 17. Jahrhundert"
"Schwäbisch, 1520"
"Schwäbisch, 1520"
"Schwäbisch, Ende 15. Jh."
"Stott, genannt Stott of Oldham William"
"Stott, genannt Stott of Oldham William"
"Süddeutsch, 1. Viertel 16. Jh."
"Süddeutsch, 1. Viertel 16. Jh."
"Süddeutsch, 1. Viertel 16. Jh."
"Süddeutsch, 1. Viertel 16. Jh."
"Venezianisch, 1. Viertel 16. Jahrhundert"
"Westfälisch, von 1560"
"Woutersz. Jan, gen. Stap"
