invno,instanceOf,image,commonscat,depicts
B 40 oder B 464,Q860861,"Adolf von Hildebrand - Der Bildhauer Josef Flossmann 1907-08-1.jpg",,Q1239581
B 367,Q860861,"Adolf von Hildebrand - Der Netztraeger 1886-1.jpg",,
B 467,Q860861,"Adolf von Hildebrand - Marie Louise Fiedler 1882-1.jpg",,
B 576,Q860861,"Adolf von Hildebrand Amazonenjagd-1.jpg",,
B 556,Q860861,"Adolf von Hildebrand Philoktet 1886-1.jpg",,
B 295,Q860861,"Adolf von Hildebrand, Konrad Fiedler.jpg",,Q65764
WAF B 4,Q860861,"Antonio Canova - Paris statue - BStGS Inv. No. WAF B 4.jpg",,
L 2092,Q860861,"Auguste Rodin Der Mann mit der zerbrochenen Nase 1863-1.jpg",,
B 355,Q860861,"Auguste Rodin Eva 1881-1.jpg",,
B 58,Q860861,"Auguste Rodin Kauernde 1880-82-1.jpg",,
B 903 oder FV 11,Q860861,"Auguste Rodin, Helene von Nostitz.jpg",,Q102918





B 15,Q860861,"Constantin Meunier Der Huettenarbeiter, um 1890 NP-1.jpg","Der Hüttenarbeiter by Constantin Meunier",
B 777,Q860861,"Albert Ernest Carrier-Belleuse Flora um 1870-80-1.jpg","Flora by Albert-Ernest Carrier-Belleuse",
L 1853,Q860861,"Wolf von Hoyer, Psyche.jpg","Psyche by Wolf von Hoyer",

